image,classname,pbox,gtbox,ioubox,iou
3022 Plate 2x2 000R.jpg,3022 Plate 2x2,"[112, 97, 305, 308, '3022 Plate 2x2', 0.2718594968318939]","[121, 105, 296, 304]","(121.0, 105.0, 296.0, 304.0)",0.8551678412690618
3022 Plate 2x2 009L.jpg,3022 Plate 2x2,"[65, 76, 331, 293, '3022 Plate 2x2', 0.20328761637210846]","[79, 80, 320, 301]","(79.0, 80.0, 320.0, 293.0)",0.8605699916177704
3022 Plate 2x2 022R.jpg,3022 Plate 2x2,"[116, 56, 302, 335, '3022 Plate 2x2', 0.2207661271095276]","[113, 79, 304, 327]","(116.0, 79.0, 302.0, 327.0)",0.868144690781797
3022 Plate 2x2 024L.jpg,3022 Plate 2x2,"[103, 81, 322, 314, '3022 Plate 2x2', 0.2174157053232193]","[103, 80, 311, 303]","(103.0, 81.0, 311.0, 303.0)",0.9012589050453791
3040 roof tile 1x2 038L.jpg,3040 roof tile 1x2,"[71, 130, 316, 319, '3040 roof tile 1x2', 0.22918276488780975]","[80, 135, 304, 320]","(80.0, 135.0, 304.0, 319.0)",0.8858131487889274
4490 brick bow 1x3 005R.jpg,4490 brick bow 1x3,"[57, 87, 355, 313, '4490 brick bow 1x3', 0.2779209613800049]","[55, 95, 344, 310]","(57.0, 95.0, 344.0, 310.0)",0.9103986544306412
4490 brick bow 1x3 014L.jpg,4490 brick bow 1x3,"[40, 72, 382, 313, '4490 brick bow 1x3', 0.3196744918823242]","[55, 75, 352, 311]","(55.0, 75.0, 352.0, 311.0)",0.8504040183446168
4490 brick bow 1x3 015L.jpg,4490 brick bow 1x3,"[83, 71, 344, 317, '4490 brick bow 1x3', 0.224005326628685]","[82, 80, 336, 312]","(83.0, 80.0, 336.0, 312.0)",0.9108910891089109
4490 brick bow 1x3 051L.jpg,4490 brick bow 1x3,"[60, 78, 339, 340, '4490 brick bow 1x3', 0.2966751456260681]","[63, 87, 327, 336]","(63.0, 87.0, 327.0, 336.0)",0.8992858901748337
14719 flat tile corner 2x2 010L.jpg,14719 flat tile corner 2x2,"[87, 88, 316, 302, '14719 flat tile corner 2x2', 0.7195273637771606]","[87, 94, 312, 291]","(87.0, 94.0, 312.0, 291.0)",0.9044810839489043
14719 flat tile corner 2x2 014R.jpg,14719 flat tile corner 2x2,"[55, 96, 351, 266, '14719 flat tile corner 2x2', 0.4006391763687134]","[79, 114, 319, 248]","(79.0, 114.0, 319.0, 248.0)",0.6391096979332274
14719 flat tile corner 2x2 016L.jpg,14719 flat tile corner 2x2,"[67, 84, 288, 304, '14719 flat tile corner 2x2', 0.3915061354637146]","[71, 90, 280, 304]","(71.0, 90.0, 280.0, 304.0)",0.9199095022624434
14719 flat tile corner 2x2 023R.jpg,14719 flat tile corner 2x2,"[84, 98, 287, 299, '14719 flat tile corner 2x2', 0.5492973327636719]","[95, 103, 287, 296]","(95.0, 103.0, 287.0, 296.0)",0.9081685170208073
14719 flat tile corner 2x2 031L.jpg,14719 flat tile corner 2x2,"[57, 123, 343, 314, '14719 flat tile corner 2x2', 0.4881647229194641]","[71, 128, 328, 311]","(71.0, 128.0, 328.0, 311.0)",0.8609636436861567
