image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[88, 94, 320, 310, '2357 brick corner 1x2x2', 0.9971375465393066]","[88, 95, 320, 312]","(88.0, 95.0, 320.0, 310.0)",0.9862385321100917
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[71, 110, 327, 304, '2357 brick corner 1x2x2', 0.9981814622879028]","[71, 111, 328, 304]","(71.0, 111.0, 327.0, 304.0)",0.9909942435365144
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[75, 55, 329, 288, '2357 brick corner 1x2x2', 0.9975619316101074]","[71, 55, 328, 288]","(75.0, 55.0, 328.0, 288.0)",0.9806201550387597
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[79, 102, 313, 313, '2357 brick corner 1x2x2', 0.9985464215278625]","[79, 104, 312, 312]","(79.0, 104.0, 312.0, 312.0)",0.9815692469720906
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[71, 126, 323, 278, '2357 brick corner 1x2x2', 0.9954219460487366]","[71, 127, 325, 280]","(71.0, 127.0, 323.0, 278.0)",0.9728485964104924
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[95, 111, 306, 271, '2420 plate corner 2x2', 0.999415397644043]","[95, 111, 304, 272]","(95.0, 111.0, 304.0, 271.0)",0.9844269775383437
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[73, 89, 331, 274, '2420 plate corner 2x2', 0.9795240759849548]","[71, 87, 328, 272]","(73.0, 89.0, 328.0, 272.0)",0.9599876568607283
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[80, 68, 280, 319, '2420 plate corner 2x2', 0.9803395867347717]","[79, 71, 275, 320]","(80.0, 71.0, 275.0, 319.0)",0.954900876708001
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[79, 134, 265, 273, '2420 plate corner 2x2', 0.9914470911026001]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 272.0)",0.9697145509398932
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[74, 111, 272, 304, '2420 plate corner 2x2', 0.9613654613494873]","[75, 111, 272, 304]","(75.0, 111.0, 272.0, 304.0)",0.9949494949494949
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[128, 144, 271, 253, '2780 Peg with friction', 0.9999574422836304]","[132, 144, 272, 256]","(132.0, 144.0, 271.0, 253.0)",0.9401216182675602
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[104, 158, 296, 239, '2780 Peg with friction', 0.9999698400497437]","[103, 159, 296, 240]","(104.0, 159.0, 296.0, 239.0)",0.9706161137440759
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[103, 158, 295, 238, '2780 Peg with friction', 0.9999861717224121]","[103, 159, 296, 240]","(103.0, 159.0, 295.0, 238.0)",0.9584834123222749
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[120, 110, 280, 288, '2780 Peg with friction', 0.999942421913147]","[120, 112, 275, 287]","(120.0, 112.0, 275.0, 287.0)",0.9524227528089888
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[119, 109, 281, 287, '2780 Peg with friction', 0.999961256980896]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 287.0)",0.9590949851693453
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[3, 54, 384, 361, '3001 brick 2x4', 0.9802087545394897]","[0, 56, 384, 360]","(3.0, 56.0, 384.0, 360.0)",0.9825668694169445
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[95, 14, 295, 365, '3001 brick 2x4', 0.9714143872261047]","[95, 15, 295, 368]","(95.0, 15.0, 295.0, 365.0)",0.9887005649717514
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[20, 101, 360, 303, '3001 brick 2x4', 0.9832426309585571]","[16, 103, 360, 297]","(20.0, 103.0, 360.0, 297.0)",0.9496659755816632
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 77, 398, 312, '3001 brick 2x4', 0.9961320161819458]","[0, 79, 400, 312]","(0.0, 79.0, 398.0, 312.0)",0.9865738967615644
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[31, 96, 353, 321, '3001 brick 2x4', 0.994342565536499]","[34, 95, 352, 320]","(34.0, 96.0, 352.0, 320.0)",0.978891820580475
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[78, 78, 346, 310, '3002 brick 2x3', 0.9900264739990234]","[79, 79, 351, 312]","(79.0, 79.0, 346.0, 310.0)",0.9655890410958904
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[57, 33, 359, 352, '3002 brick 2x3', 0.9954469799995422]","[55, 31, 360, 352]","(57.0, 33.0, 359.0, 352.0)",0.9839946887288699
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[62, 38, 320, 350, '3002 brick 2x3', 0.994627058506012]","[63, 39, 320, 351]","(63.0, 39.0, 320.0, 350.0)",0.9897712778472626
3002 brick 2x3 039R.jpg,3002 brick 2x3,"[64, 96, 311, 326, '3002 brick 2x3', 0.9405800104141235]","[64, 95, 312, 326]","(64.0, 96.0, 311.0, 326.0)",0.9916561932690965
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[39, 87, 359, 287, '3002 brick 2x3', 0.9963550567626953]","[39, 87, 359, 288]","(39.0, 87.0, 359.0, 287.0)",0.9950248756218906
3003 brick 2x2 004R.jpg,3003 brick 2x2,"[89, 95, 304, 302, '3003 brick 2x2', 0.9403879046440125]","[87, 95, 302, 304]","(89.0, 95.0, 302.0, 302.0)",0.9722595867604578
3003 brick 2x2 008R.jpg,3003 brick 2x2,"[78, 94, 321, 286, '3003 brick 2x2', 0.8768094778060913]","[79, 95, 320, 288]","(79.0, 95.0, 320.0, 286.0)",0.976515762230048
3003 brick 2x2 012L.jpg,3003 brick 2x2,"[95, 95, 320, 305, '3003 brick 2x2', 0.9202433228492737]","[95, 95, 320, 301]","(95.0, 95.0, 320.0, 301.0)",0.9809523809523809
3003 brick 2x2 022L.jpg,3003 brick 2x2,"[73, 101, 328, 321, '3003 brick 2x2', 0.9477593898773193]","[71, 103, 328, 320]","(73.0, 103.0, 328.0, 320.0)",0.9787915236848622
3003 brick 2x2 024R.jpg,3003 brick 2x2,"[78, 72, 310, 318, '3003 brick 2x2', 0.9754584431648254]","[80, 74, 312, 320]","(80.0, 74.0, 310.0, 318.0)",0.967185992003309
3004 brick 1x2 002R.jpg,3004 brick 1x2,"[101, 89, 284, 303, '3004 brick 1x2', 0.9578611850738525]","[103, 89, 288, 304]","(103.0, 89.0, 284.0, 303.0)",0.9634604382757506
3004 brick 1x2 011L.jpg,3004 brick 1x2,"[96, 93, 312, 287, '3004 brick 1x2', 0.9858784675598145]","[96, 95, 310, 286]","(96.0, 95.0, 310.0, 286.0)",0.9754200076365025
3004 brick 1x2 015L.jpg,3004 brick 1x2,"[79, 126, 311, 287, '3004 brick 1x2', 0.9089189171791077]","[81, 127, 310, 288]","(81.0, 127.0, 310.0, 287.0)",0.9749607514435487
3004 brick 1x2 022R.jpg,3004 brick 1x2,"[126, 85, 267, 302, '3004 brick 1x2', 0.9733669757843018]","[127, 87, 264, 300]","(127.0, 87.0, 264.0, 300.0)",0.9537209530346112
3004 brick 1x2 028L.jpg,3004 brick 1x2,"[111, 96, 296, 310, '3004 brick 1x2', 0.4108845591545105]","[114, 98, 296, 312]","(114.0, 98.0, 296.0, 310.0)",0.965710567152225
3005 brick 1x1 000L.jpg,3005 brick 1x1,"[120, 119, 289, 277, '3005 brick 1x1', 0.9997723698616028]","[119, 122, 288, 280]","(120.0, 122.0, 288.0, 277.0)",0.9516152609267651
3005 brick 1x1 012L.jpg,3005 brick 1x1,"[121, 111, 287, 271, '3005 brick 1x1', 0.9992695450782776]","[119, 111, 282, 272]","(121.0, 111.0, 282.0, 271.0)",0.952557038790075
3005 brick 1x1 015R.jpg,3005 brick 1x1,"[113, 127, 270, 280, '3005 brick 1x1', 0.9997707009315491]","[114, 127, 267, 280]","(114.0, 127.0, 267.0, 280.0)",0.9745222929936306
3005 brick 1x1 017L.jpg,3005 brick 1x1,"[110, 112, 273, 276, '3005 brick 1x1', 0.997138500213623]","[111, 111, 272, 277]","(111.0, 112.0, 272.0, 276.0)",0.975973977969986
3005 brick 1x1 030L.jpg,3005 brick 1x1,"[126, 112, 288, 279, '3005 brick 1x1', 0.9990676045417786]","[127, 111, 287, 280]","(127.0, 112.0, 287.0, 279.0)",0.9761087163001388
3010 brick 1x4 010R.jpg,3010 brick 1x4,"[14, 86, 375, 323, '3010 brick 1x4', 0.9434528350830078]","[15, 89, 376, 328]","(15.0, 89.0, 375.0, 323.0)",0.961687748299009
3010 brick 1x4 011L.jpg,3010 brick 1x4,"[56, 55, 352, 367, '3010 brick 1x4', 0.9292904138565063]","[55, 55, 352, 368]","(56.0, 55.0, 352.0, 367.0)",0.9934488656533385
3010 brick 1x4 015L.jpg,3010 brick 1x4,"[117, 11, 299, 389, '3010 brick 1x4', 0.8782308101654053]","[119, 7, 296, 390]","(119.0, 11.0, 296.0, 389.0)",0.9601756576398157
3010 brick 1x4 021L.jpg,3010 brick 1x4,"[112, 86, 280, 334, '3010 brick 1x4', 0.8804329037666321]","[112, 87, 280, 336]","(112.0, 87.0, 280.0, 334.0)",0.988
3010 brick 1x4 044L.jpg,3010 brick 1x4,"[48, 49, 327, 350, '3010 brick 1x4', 0.7041115760803223]","[47, 47, 328, 351]","(48.0, 49.0, 327.0, 350.0)",0.9830843790972092
3020 plate 2x4 009L.jpg,3020 plate 2x4,"[29, 103, 390, 287, '3020 plate 2x4', 0.99959796667099]","[31, 103, 390, 288]","(31.0, 103.0, 390.0, 287.0)",0.9891139960768459
3020 plate 2x4 024R.jpg,3020 plate 2x4,"[73, 47, 336, 368, '3020 plate 2x4', 0.9991781115531921]","[71, 47, 336, 368]","(73.0, 47.0, 336.0, 368.0)",0.9924528301886792
3020 plate 2x4 029L.jpg,3020 plate 2x4,"[72, 82, 354, 319, '3020 plate 2x4', 0.9983079433441162]","[71, 86, 359, 320]","(72.0, 86.0, 354.0, 319.0)",0.9589316987740806
3020 plate 2x4 033R.jpg,3020 plate 2x4,"[71, 41, 319, 329, '3020 plate 2x4', 0.9934159517288208]","[73, 39, 320, 328]","(73.0, 41.0, 319.0, 328.0)",0.9777993213766359
3020 plate 2x4 034L.jpg,3020 plate 2x4,"[0, 110, 400, 312, '3020 plate 2x4', 0.9981657862663269]","[0, 111, 400, 312]","(0.0, 111.0, 400.0, 312.0)",0.995049504950495
3021 plate 2x3 009R.jpg,3021 plate 2x3,"[90, 55, 299, 344, '3021 plate 2x3', 0.9959235191345215]","[88, 56, 296, 344]","(90.0, 56.0, 296.0, 344.0)",0.972957016580022
3021 plate 2x3 011L.jpg,3021 plate 2x3,"[41, 91, 368, 287, '3021 plate 2x3', 0.9942875504493713]","[40, 93, 364, 285]","(41.0, 93.0, 364.0, 285.0)",0.9647190591749113
3021 plate 2x3 020R.jpg,3021 plate 2x3,"[85, 47, 336, 352, '3021 plate 2x3', 0.9978370070457458]","[87, 48, 335, 352]","(87.0, 48.0, 335.0, 352.0)",0.9848083077525962
3021 plate 2x3 019L.jpg,3021 plate 2x3,"[40, 69, 351, 318, '3021 plate 2x3', 0.9958103895187378]","[39, 71, 351, 314]","(40.0, 71.0, 351.0, 314.0)",0.9728508534795706
