image,classname,pbox,gtbox,ioubox,iou
3003 brick 2x2 004R.jpg,3003 brick 2x2,"[89, 97, 302, 305, '3003 brick 2x2', 0.31997233629226685]","[87, 95, 302, 304]","(89.0, 97.0, 302.0, 304.0)",0.9765881102152919
3003 brick 2x2 008R.jpg,3003 brick 2x2,"[77, 94, 324, 288, '3003 brick 2x2', 0.44564345479011536]","[79, 95, 320, 288]","(79.0, 95.0, 320.0, 288.0)",0.9706790767561251
3003 brick 2x2 012L.jpg,3003 brick 2x2,"[99, 99, 318, 302, '3003 brick 2x2', 0.37122511863708496]","[95, 95, 320, 301]","(99.0, 99.0, 318.0, 301.0)",0.9499452425433228
3003 brick 2x2 022L.jpg,3003 brick 2x2,"[76, 98, 327, 315, '3003 brick 2x2', 0.495503693819046]","[71, 103, 328, 320]","(76.0, 103.0, 327.0, 315.0)",0.9331509539842873
3003 brick 2x2 024R.jpg,3003 brick 2x2,"[87, 69, 306, 319, '3003 brick 2x2', 0.4992622435092926]","[80, 74, 312, 320]","(87.0, 74.0, 306.0, 319.0)",0.9224302439527567
3022 Plate 2x2 009L.jpg,3022 Plate 2x2,"[80, 83, 317, 299, '3022 Plate 2x2', 0.2517665922641754]","[79, 80, 320, 301]","(80.0, 83.0, 317.0, 299.0)",0.9611535645218828
3022 Plate 2x2 022R.jpg,3022 Plate 2x2,"[111, 78, 305, 327, '3022 Plate 2x2', 0.24978989362716675]","[113, 79, 304, 327]","(113.0, 79.0, 304.0, 327.0)",0.9805821223036476
3022 Plate 2x2 024L.jpg,3022 Plate 2x2,"[103, 82, 313, 304, '3022 Plate 2x2', 0.21719346940517426]","[103, 80, 311, 303]","(103.0, 82.0, 311.0, 303.0)",0.9772939875839782
3037 roof tile 1x4 004L.jpg,3037 roof tile 1x4,"[0, 0, 388, 396, '3037 roof tile 1x4', 0.4448939859867096]","[0, 27, 384, 384]","(0.0, 27.0, 384.0, 384.0)",0.8922211808809747
3037 roof tile 1x4 004L.jpg,3037 roof tile 1x4,"[0, 53, 400, 338, '3037 roof tile 1x4', 0.43041130900382996]","[0, 27, 384, 384]","(0.0, 53.0, 384.0, 338.0)",0.7726194510335479
3037 roof tile 1x4 004L.jpg,3037 roof tile 1x4,"[0, 0, 400, 372, '3037 roof tile 1x4', 0.2557923197746277]","[0, 27, 384, 384]","(0.0, 27.0, 384.0, 372.0)",0.8635794743429287
3038 roof tile 2x3 003L.jpg,3038 roof tile 2x3,"[52, 129, 363, 272, '3038 roof tile 2x3', 0.257529079914093]","[55, 127, 352, 272]","(55.0, 129.0, 352.0, 272.0)",0.9423968757627532
3038 roof tile 2x3 011R.jpg,3038 roof tile 2x3,"[46, 101, 340, 315, '3038 roof tile 2x3', 0.6803411841392517]","[47, 104, 336, 320]","(47.0, 104.0, 336.0, 315.0)",0.9474526498966765
3038 roof tile 2x3 013R.jpg,3038 roof tile 2x3,"[40, 54, 334, 329, '3038 roof tile 2x3', 0.7432097792625427]","[47, 63, 328, 335]","(47.0, 63.0, 328.0, 329.0)",0.9056169429097606
3038 roof tile 2x3 018L.jpg,3038 roof tile 2x3,"[46, 76, 367, 303, '3038 roof tile 2x3', 0.7797247767448425]","[55, 79, 360, 312]","(55.0, 79.0, 360.0, 303.0)",0.903560281436809
3038 roof tile 2x3 050L.jpg,3038 roof tile 2x3,"[28, 17, 365, 366, '3038 roof tile 2x3', 0.7342548370361328]","[31, 31, 372, 376]","(31.0, 31.0, 365.0, 366.0)",0.906961286557292
3040 roof tile 1x2 027L.jpg,3040 roof tile 1x2,"[140, 73, 315, 314, '3040 roof tile 1x2', 0.25667575001716614]","[135, 80, 320, 312]","(140.0, 80.0, 315.0, 312.0)",0.912462074390381
3659 brick bow 1x4 002R.jpg,3659 brick bow 1x4,"[0, 0, 400, 267, '3659 brick bow 1x4', 0.3712841272354126]","[24, 127, 359, 288]","(24.0, 127.0, 359.0, 267.0)",0.4119998243071112
3659 brick bow 1x4 002R.jpg,3659 brick bow 1x4,"[0, 74, 387, 259, '3659 brick bow 1x4', 0.2688712179660797]","[24, 127, 359, 288]","(24.0, 127.0, 359.0, 259.0)",0.543844545566351
3659 brick bow 1x4 006R.jpg,3659 brick bow 1x4,"[2, 47, 398, 316, '3659 brick bow 1x4', 0.38021358847618103]","[15, 59, 384, 320]","(15.0, 59.0, 384.0, 316.0)",0.8780833333333333
3659 brick bow 1x4 023L.jpg,3659 brick bow 1x4,"[0, 0, 290, 277, '3659 brick bow 1x4', 0.3198707699775696]","[79, 12, 312, 400]","(79.0, 12.0, 290.0, 277.0)",0.48698386155601425
3659 brick bow 1x4 023L.jpg,3659 brick bow 1x4,"[0, 0, 347, 359, '3659 brick bow 1x4', 0.29300302267074585]","[79, 12, 312, 400]","(79.0, 12.0, 312.0, 359.0)",0.6027988607727063
3659 brick bow 1x4 023L.jpg,3659 brick bow 1x4,"[25, 0, 311, 377, '3659 brick bow 1x4', 0.2336810678243637]","[79, 12, 312, 400]","(79.0, 12.0, 311.0, 377.0)",0.7457770419037218
3659 brick bow 1x4 038L.jpg,3659 brick bow 1x4,"[0, 16, 370, 333, '3659 brick bow 1x4', 0.6009091138839722]","[45, 95, 352, 328]","(45.0, 95.0, 352.0, 328.0)",0.6098644385710632
3659 brick bow 1x4 038L.jpg,3659 brick bow 1x4,"[0, 0, 364, 337, '3659 brick bow 1x4', 0.5150507688522339]","[45, 95, 352, 328]","(45.0, 95.0, 352.0, 328.0)",0.58312681383898
3659 brick bow 1x4 038L.jpg,3659 brick bow 1x4,"[0, 0, 387, 337, '3659 brick bow 1x4', 0.4477050304412842]","[45, 95, 352, 328]","(45.0, 95.0, 352.0, 328.0)",0.5484706982878261
3659 brick bow 1x4 038L.jpg,3659 brick bow 1x4,"[31, 84, 358, 316, '3659 brick bow 1x4', 0.37889719009399414]","[45, 95, 352, 328]","(45.0, 95.0, 352.0, 316.0)",0.8529064212802333
3659 brick bow 1x4 038L.jpg,3659 brick bow 1x4,"[0, 35, 326, 265, '3659 brick bow 1x4', 0.37584325671195984]","[45, 95, 352, 328]","(45.0, 95.0, 326.0, 265.0)",0.48379092778075977
3659 brick bow 1x4 038L.jpg,3659 brick bow 1x4,"[37, 0, 373, 284, '3659 brick bow 1x4', 0.2516341209411621]","[45, 95, 352, 328]","(45.0, 95.0, 352.0, 284.0)",0.5326533984504094
3659 brick bow 1x4 038L.jpg,3659 brick bow 1x4,"[0, 0, 400, 303, '3659 brick bow 1x4', 0.225629985332489]","[45, 95, 352, 328]","(45.0, 95.0, 352.0, 303.0)",0.4954878758486906
3659 brick bow 1x4 038L.jpg,3659 brick bow 1x4,"[0, 0, 291, 305, '3659 brick bow 1x4', 0.20766496658325195]","[45, 95, 352, 328]","(45.0, 95.0, 291.0, 305.0)",0.4755767495811316
3659 brick bow 1x4 040R.jpg,3659 brick bow 1x4,"[0, 0, 400, 258, '3659 brick bow 1x4', 0.5240621566772461]","[18, 111, 368, 272]","(18.0, 111.0, 368.0, 258.0)",0.4759481961147086
3659 brick bow 1x4 040R.jpg,3659 brick bow 1x4,"[0, 70, 382, 252, '3659 brick bow 1x4', 0.48785850405693054]","[18, 111, 368, 272]","(18.0, 111.0, 368.0, 252.0)",0.6448957189901208
3659 brick bow 1x4 040R.jpg,3659 brick bow 1x4,"[0, 28, 388, 285, '3659 brick bow 1x4', 0.3686860203742981]","[18, 111, 368, 272]","(18.0, 111.0, 368.0, 272.0)",0.5651048979100646
3659 brick bow 1x4 040R.jpg,3659 brick bow 1x4,"[8, 0, 389, 217, '3659 brick bow 1x4', 0.2920724153518677]","[18, 111, 368, 272]","(18.0, 111.0, 368.0, 217.0)",0.36398598997321613
3659 brick bow 1x4 040R.jpg,3659 brick bow 1x4,"[0, 0, 376, 319, '3659 brick bow 1x4', 0.20714904367923737]","[18, 111, 368, 272]","(18.0, 111.0, 368.0, 272.0)",0.4698025745347829
4286 roof tile 1x3 000L.jpg,4286 roof tile 1x3,"[147, 56, 286, 360, '4286 roof tile 1x3', 0.4028293192386627]","[135, 55, 280, 344]","(147.0, 56.0, 280.0, 344.0)",0.8352923217829339
4286 roof tile 1x3 040L.jpg,4286 roof tile 1x3,"[39, 82, 351, 299, '4286 roof tile 1x3', 0.31525281071662903]","[51, 87, 352, 303]","(51.0, 87.0, 351.0, 299.0)",0.9201388888888888
4490 brick bow 1x3 005R.jpg,4490 brick bow 1x3,"[57, 93, 345, 304, '4490 brick bow 1x3', 0.30125975608825684]","[55, 95, 344, 310]","(57.0, 95.0, 344.0, 304.0)",0.9533216783216784
4490 brick bow 1x3 014L.jpg,4490 brick bow 1x3,"[39, 71, 357, 307, '4490 brick bow 1x3', 0.6003130078315735]","[55, 75, 352, 311]","(55.0, 75.0, 352.0, 307.0)",0.9038249645836612
