image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[89, 92, 323, 311, '2357 brick corner 1x2x2', 0.982548177242279]","[88, 95, 320, 312]","(89.0, 95.0, 320.0, 311.0)",0.965218400588076
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[72, 110, 324, 305, '2357 brick corner 1x2x2', 0.9163448810577393]","[71, 111, 328, 304]","(72.0, 111.0, 324.0, 304.0)",0.970681568705718
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[72, 57, 327, 290, '2357 brick corner 1x2x2', 0.9907886385917664]","[71, 55, 328, 288]","(72.0, 57.0, 327.0, 288.0)",0.9753936844894107
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[77, 102, 315, 316, '2357 brick corner 1x2x2', 0.9793314933776855]","[79, 104, 312, 312]","(79.0, 104.0, 312.0, 312.0)",0.9515432341160763
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[74, 125, 324, 277, '2357 brick corner 1x2x2', 0.8326708078384399]","[71, 127, 325, 280]","(74.0, 127.0, 324.0, 277.0)",0.9526954931151872
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[91, 113, 304, 271, '2420 plate corner 2x2', 0.9537968635559082]","[95, 111, 304, 272]","(95.0, 113.0, 304.0, 271.0)",0.9632741168577346
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[74, 89, 337, 271, '2420 plate corner 2x2', 0.8771493434906006]","[71, 87, 328, 272]","(74.0, 89.0, 328.0, 271.0)",0.9399182644409654
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[78, 68, 274, 319, '2420 plate corner 2x2', 0.9477711915969849]","[79, 71, 275, 320]","(79.0, 71.0, 274.0, 319.0)",0.9742143432715552
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[78, 133, 268, 274, '2420 plate corner 2x2', 0.9704807996749878]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 272.0)",0.9358342665173572
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[74, 113, 275, 304, '2420 plate corner 2x2', 0.9864503145217896]","[75, 111, 272, 304]","(75.0, 113.0, 272.0, 304.0)",0.9701430965579476
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[130, 145, 269, 251, '2780 Peg with friction', 0.9873866438865662]","[132, 144, 272, 256]","(132.0, 145.0, 269.0, 251.0)",0.9137931034482759
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[103, 159, 296, 241, '2780 Peg with friction', 0.9683966040611267]","[103, 159, 296, 240]","(103.0, 159.0, 296.0, 240.0)",0.9878048780487805
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[104, 159, 295, 241, '2780 Peg with friction', 0.9144353270530701]","[103, 159, 296, 240]","(104.0, 159.0, 295.0, 240.0)",0.9776921132457027
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[122, 111, 278, 286, '2780 Peg with friction', 0.9732444286346436]","[120, 112, 275, 287]","(122.0, 112.0, 275.0, 286.0)",0.9575225695068877
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[120, 108, 283, 288, '2780 Peg with friction', 0.9716468453407288]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.9531697341513292
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[1, 54, 382, 362, '3001 brick 2x4', 0.9900137186050415]","[0, 56, 384, 360]","(1.0, 56.0, 382.0, 360.0)",0.9794013191273465
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[93, 13, 294, 364, '3001 brick 2x4', 0.9875156879425049]","[95, 15, 295, 368]","(95.0, 15.0, 294.0, 364.0)",0.9686331938633194
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[18, 98, 357, 299, '3001 brick 2x4', 0.9910067915916443]","[16, 103, 360, 297]","(18.0, 103.0, 357.0, 297.0)",0.9516271397357797
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[3, 79, 399, 309, '3001 brick 2x4', 0.9930376410484314]","[0, 79, 400, 312]","(3.0, 79.0, 399.0, 309.0)",0.9772532188841202
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[34, 98, 354, 323, '3001 brick 2x4', 0.9878836274147034]","[34, 95, 352, 320]","(34.0, 98.0, 352.0, 320.0)",0.9676782630150506
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[77, 75, 348, 308, '3002 brick 2x3', 0.9667035937309265]","[79, 79, 351, 312]","(79.0, 79.0, 348.0, 308.0)",0.9489047721741274
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[59, 32, 360, 351, '3002 brick 2x3', 0.9958356618881226]","[55, 31, 360, 352]","(59.0, 32.0, 360.0, 351.0)",0.9807364281701649
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[66, 36, 319, 352, '3002 brick 2x3', 0.9901280999183655]","[63, 39, 320, 351]","(66.0, 39.0, 319.0, 351.0)",0.9721661165574659
3002 brick 2x3 039R.jpg,3002 brick 2x3,"[67, 99, 313, 324, '3002 brick 2x3', 0.9507826566696167]","[64, 95, 312, 326]","(67.0, 99.0, 312.0, 324.0)",0.958478952584633
