image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[90, 92, 323, 311, '2357 brick corner 1x2x2', 0.9625548720359802]","[88, 95, 320, 312]","(90.0, 95.0, 320.0, 311.0)",0.9610957420053781
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[71, 110, 325, 305, '2357 brick corner 1x2x2', 0.9627686142921448]","[71, 111, 328, 304]","(71.0, 111.0, 325.0, 304.0)",0.9783072901075655
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[71, 58, 327, 291, '2357 brick corner 1x2x2', 0.9616819024085999]","[71, 55, 328, 288]","(71.0, 58.0, 327.0, 288.0)",0.9708321654108064
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[77, 102, 314, 315, '2357 brick corner 1x2x2', 0.95924973487854]","[79, 104, 312, 312]","(79.0, 104.0, 312.0, 312.0)",0.9600443731304847
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[74, 124, 324, 277, '2357 brick corner 1x2x2', 0.9559034109115601]","[71, 127, 325, 280]","(74.0, 127.0, 324.0, 277.0)",0.9466828233868525
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[93, 113, 303, 270, '2420 plate corner 2x2', 0.9485518336296082]","[95, 111, 304, 272]","(95.0, 113.0, 303.0, 270.0)",0.961516944910638
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[73, 90, 330, 273, '2420 plate corner 2x2', 0.9579578638076782]","[71, 87, 328, 272]","(73.0, 90.0, 328.0, 272.0)",0.9635427479965121
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[79, 68, 277, 319, '2420 plate corner 2x2', 0.9642675518989563]","[79, 71, 275, 320]","(79.0, 71.0, 275.0, 319.0)",0.9742253577584479
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[79, 133, 266, 273, '2420 plate corner 2x2', 0.9516676664352417]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 272.0)",0.9576394194041253
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[76, 114, 273, 305, '2420 plate corner 2x2', 0.9691837430000305]","[75, 111, 272, 304]","(76.0, 114.0, 272.0, 304.0)",0.969589668818996
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[130, 145, 269, 251, '2780 Peg with friction', 0.9365277290344238]","[132, 144, 272, 256]","(132.0, 145.0, 269.0, 251.0)",0.9137931034482759
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[105, 160, 296, 240, '2780 Peg with friction', 0.9212324023246765]","[103, 159, 296, 240]","(105.0, 160.0, 296.0, 240.0)",0.9774195611846734
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[104, 161, 296, 239, '2780 Peg with friction', 0.9144049286842346]","[103, 159, 296, 240]","(104.0, 161.0, 296.0, 239.0)",0.9579735175590098
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[122, 111, 277, 285, '2780 Peg with friction', 0.9569487571716309]","[120, 112, 275, 287]","(122.0, 112.0, 275.0, 285.0)",0.9581191631072178
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[120, 108, 283, 289, '2780 Peg with friction', 0.9414432644844055]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.9479036030234214
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[2, 53, 381, 361, '3001 brick 2x4', 0.9804476499557495]","[0, 56, 384, 360]","(2.0, 56.0, 381.0, 360.0)",0.9743260156276426
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[94, 13, 294, 364, '3001 brick 2x4', 0.9687814712524414]","[95, 15, 295, 368]","(95.0, 15.0, 294.0, 364.0)",0.9733983657794784
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[18, 99, 358, 300, '3001 brick 2x4', 0.9774119853973389]","[16, 103, 360, 297]","(18.0, 103.0, 358.0, 297.0)",0.9543376352798194
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 78, 400, 308, '3001 brick 2x4', 0.9792230129241943]","[0, 79, 400, 312]","(0.0, 79.0, 400.0, 308.0)",0.9786324786324786
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[33, 97, 353, 323, '3001 brick 2x4', 0.9810733795166016]","[34, 95, 352, 320]","(34.0, 97.0, 352.0, 320.0)",0.9720105268929218
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[78, 76, 347, 307, '3002 brick 2x3', 0.9671785235404968]","[79, 79, 351, 312]","(79.0, 79.0, 347.0, 307.0)",0.9486578379469345
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[58, 33, 359, 351, '3002 brick 2x3', 0.985385000705719]","[55, 31, 360, 352]","(58.0, 33.0, 359.0, 351.0)",0.9776620193044278
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[66, 38, 319, 352, '3002 brick 2x3', 0.9809430241584778]","[63, 39, 320, 351]","(66.0, 39.0, 319.0, 351.0)",0.9782624860577519
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[37, 89, 359, 290, '3002 brick 2x3', 0.9772289991378784]","[39, 87, 359, 288]","(39.0, 89.0, 359.0, 288.0)",0.974266393317218
3003 brick 2x2 004R.jpg,3003 brick 2x2,"[86, 96, 301, 302, '3003 brick 2x2', 0.966218113899231]","[87, 95, 302, 304]","(87.0, 96.0, 301.0, 302.0)",0.9765844797412552
3003 brick 2x2 008R.jpg,3003 brick 2x2,"[79, 94, 323, 287, '3003 brick 2x2', 0.9639232754707336]","[79, 95, 320, 288]","(79.0, 95.0, 320.0, 287.0)",0.9775843491855577
3003 brick 2x2 012L.jpg,3003 brick 2x2,"[97, 98, 319, 299, '3003 brick 2x2', 0.9530653953552246]","[95, 95, 320, 301]","(97.0, 98.0, 319.0, 299.0)",0.9627184466019417
3003 brick 2x2 022L.jpg,3003 brick 2x2,"[75, 101, 326, 317, '3003 brick 2x2', 0.9641845226287842]","[71, 103, 328, 320]","(75.0, 103.0, 326.0, 317.0)",0.9545591867924864
3003 brick 2x2 024R.jpg,3003 brick 2x2,"[82, 71, 307, 319, '3003 brick 2x2', 0.9683152437210083]","[80, 74, 312, 320]","(82.0, 74.0, 307.0, 319.0)",0.9545950438983843
3004 brick 1x2 002R.jpg,3004 brick 1x2,"[104, 91, 283, 302, '3004 brick 1x2', 0.9596880078315735]","[103, 89, 288, 304]","(104.0, 91.0, 283.0, 302.0)",0.949566310496543
3004 brick 1x2 011L.jpg,3004 brick 1x2,"[96, 91, 311, 288, '3004 brick 1x2', 0.9731398820877075]","[96, 95, 310, 286]","(96.0, 95.0, 310.0, 286.0)",0.9650336441978515
3004 brick 1x2 015L.jpg,3004 brick 1x2,"[81, 124, 310, 290, '3004 brick 1x2', 0.9734411835670471]","[81, 127, 310, 288]","(81.0, 127.0, 310.0, 288.0)",0.9698795180722891
3004 brick 1x2 022R.jpg,3004 brick 1x2,"[124, 83, 267, 301, '3004 brick 1x2', 0.9666489958763123]","[127, 87, 264, 300]","(127.0, 87.0, 264.0, 300.0)",0.936068518637326
3004 brick 1x2 028L.jpg,3004 brick 1x2,"[112, 98, 297, 310, '3004 brick 1x2', 0.9744385480880737]","[114, 98, 296, 312]","(114.0, 98.0, 296.0, 310.0)",0.9747372675828617
3005 brick 1x1 000L.jpg,3005 brick 1x1,"[119, 119, 289, 274, '3005 brick 1x1', 0.932800829410553]","[119, 122, 288, 280]","(119.0, 122.0, 288.0, 274.0)",0.9387516444964187
3005 brick 1x1 012L.jpg,3005 brick 1x1,"[122, 110, 284, 270, '3005 brick 1x1', 0.9489743709564209]","[119, 111, 282, 272]","(122.0, 111.0, 282.0, 270.0)",0.951988923399319
3005 brick 1x1 015R.jpg,3005 brick 1x1,"[112, 128, 268, 277, '3005 brick 1x1', 0.9349018931388855]","[114, 127, 267, 280]","(114.0, 128.0, 267.0, 277.0)",0.9556086519114688
3005 brick 1x1 017L.jpg,3005 brick 1x1,"[109, 112, 272, 275, '3005 brick 1x1', 0.9512861967086792]","[111, 111, 272, 277]","(111.0, 112.0, 272.0, 275.0)",0.970094632559515
3005 brick 1x1 030L.jpg,3005 brick 1x1,"[127, 112, 286, 277, '3005 brick 1x1', 0.947516918182373]","[127, 111, 287, 280]","(127.0, 112.0, 286.0, 277.0)",0.9702292899408284
3010 brick 1x4 010R.jpg,3010 brick 1x4,"[13, 89, 376, 323, '3010 brick 1x4', 0.961736261844635]","[15, 89, 376, 328]","(15.0, 89.0, 376.0, 323.0)",0.973797364750366
3010 brick 1x4 011L.jpg,3010 brick 1x4,"[52, 54, 354, 368, '3010 brick 1x4', 0.9721617698669434]","[55, 55, 352, 368]","(55.0, 55.0, 352.0, 368.0)",0.980311722276121
3010 brick 1x4 015L.jpg,3010 brick 1x4,"[117, 6, 295, 390, '3010 brick 1x4', 0.9534032344818115]","[119, 7, 296, 390]","(119.0, 7.0, 295.0, 390.0)",0.9806939695933659
3010 brick 1x4 021L.jpg,3010 brick 1x4,"[114, 84, 275, 336, '3010 brick 1x4', 0.9690337181091309]","[112, 87, 280, 336]","(114.0, 87.0, 275.0, 336.0)",0.9473945409429281
3010 brick 1x4 044L.jpg,3010 brick 1x4,"[47, 45, 330, 352, '3010 brick 1x4', 0.9709347486495972]","[47, 47, 328, 351]","(47.0, 47.0, 328.0, 351.0)",0.98322993519872
3020 plate 2x4 009L.jpg,3020 plate 2x4,"[31, 104, 387, 285, '3020 plate 2x4', 0.9709854125976562]","[31, 103, 390, 288]","(31.0, 104.0, 387.0, 285.0)",0.9702025144922081
3020 plate 2x4 024R.jpg,3020 plate 2x4,"[75, 45, 332, 365, '3020 plate 2x4', 0.9500875473022461]","[71, 47, 336, 368]","(75.0, 47.0, 332.0, 365.0)",0.954977272461702
3020 plate 2x4 029L.jpg,3020 plate 2x4,"[71, 82, 355, 316, '3020 plate 2x4', 0.9788286089897156]","[71, 86, 359, 320]","(71.0, 86.0, 355.0, 316.0)",0.9531870184450152
3020 plate 2x4 033R.jpg,3020 plate 2x4,"[74, 42, 318, 330, '3020 plate 2x4', 0.9737424254417419]","[73, 39, 320, 328]","(74.0, 42.0, 318.0, 328.0)",0.9709618622253761
3020 plate 2x4 034L.jpg,3020 plate 2x4,"[0, 108, 400, 313, '3020 plate 2x4', 0.9707071185112]","[0, 111, 400, 312]","(0.0, 111.0, 400.0, 312.0)",0.9804878048780488
3021 plate 2x3 009R.jpg,3021 plate 2x3,"[91, 57, 299, 345, '3021 plate 2x3', 0.9759491682052612]","[88, 56, 296, 344]","(91.0, 57.0, 296.0, 344.0)",0.9649352992308071
3021 plate 2x3 011L.jpg,3021 plate 2x3,"[42, 91, 365, 284, '3021 plate 2x3', 0.9735181331634521]","[40, 93, 364, 285]","(42.0, 93.0, 364.0, 284.0)",0.9755254183519708
3021 plate 2x3 020R.jpg,3021 plate 2x3,"[85, 49, 334, 354, '3021 plate 2x3', 0.9787395000457764]","[87, 48, 335, 352]","(87.0, 49.0, 334.0, 352.0)",0.9783648818238863
3021 plate 2x3 019L.jpg,3021 plate 2x3,"[40, 69, 351, 316, '3021 plate 2x3', 0.9745476841926575]","[39, 71, 351, 314]","(40.0, 71.0, 351.0, 314.0)",0.980703348040488
3021 plate 2x3 025L.jpg,3021 plate 2x3,"[44, 109, 362, 275, '3021 plate 2x3', 0.9638932943344116]","[47, 111, 360, 272]","(47.0, 111.0, 360.0, 272.0)",0.9546298401151777
3022 Plate 2x2 000R.jpg,3022 Plate 2x2,"[120, 105, 297, 299, '3022 Plate 2x2', 0.9698672890663147]","[121, 105, 296, 304]","(121.0, 105.0, 296.0, 299.0)",0.9641325646778178
3022 Plate 2x2 009L.jpg,3022 Plate 2x2,"[82, 84, 319, 300, '3022 Plate 2x2', 0.9418839812278748]","[79, 80, 320, 301]","(82.0, 84.0, 319.0, 300.0)",0.9611535645218828
3022 Plate 2x2 022R.jpg,3022 Plate 2x2,"[112, 78, 307, 324, '3022 Plate 2x2', 0.9576299786567688]","[113, 79, 304, 327]","(113.0, 79.0, 304.0, 324.0)",0.963990688667779
3022 Plate 2x2 024L.jpg,3022 Plate 2x2,"[105, 81, 313, 303, '3022 Plate 2x2', 0.9344475865364075]","[103, 80, 311, 303]","(105.0, 81.0, 311.0, 303.0)",0.9765951994533185
3022 Plate 2x2 035R.jpg,3022 Plate 2x2,"[98, 108, 311, 297, '3022 Plate 2x2', 0.8120662569999695]","[95, 111, 312, 296]","(98.0, 111.0, 311.0, 296.0)",0.9611678903334391
3023 Plate 1x2 017L.jpg,3023 Plate 1x2,"[97, 156, 304, 254, '3023 Plate 1x2', 0.9419493079185486]","[95, 159, 304, 255]","(97.0, 159.0, 304.0, 254.0)",0.9506889050036258
3023 Plate 1x2 020R.jpg,3023 Plate 1x2,"[102, 163, 297, 242, '3023 Plate 1x2', 0.9353111386299133]","[103, 167, 296, 240]","(103.0, 167.0, 296.0, 240.0)",0.9145731905225576
3023 Plate 1x2 036L.jpg,3023 Plate 1x2,"[114, 97, 293, 302, '3023 Plate 1x2', 0.9183657169342041]","[114, 96, 294, 302]","(114.0, 97.0, 293.0, 302.0)",0.9896170442286947
3023 Plate 1x2 037R.jpg,3023 Plate 1x2,"[114, 146, 292, 271, '3023 Plate 1x2', 0.931133508682251]","[111, 143, 296, 272]","(114.0, 146.0, 292.0, 271.0)",0.9323276765137231
3023 Plate 1x2 050L.jpg,3023 Plate 1x2,"[114, 141, 301, 249, '3023 Plate 1x2', 0.9571418166160583]","[115, 143, 303, 248]","(115.0, 143.0, 301.0, 248.0)",0.9570714495736548
3024 plate 1x1 001L.jpg,3024 plate 1x1,"[131, 163, 266, 244, '3024 plate 1x1', 0.9182416200637817]","[128, 160, 264, 244]","(131.0, 163.0, 264.0, 244.0)",0.9298291040911445
3024 plate 1x1 003R.jpg,3024 plate 1x1,"[138, 162, 262, 251, '3024 plate 1x1', 0.8950796127319336]","[136, 159, 264, 256]","(138.0, 162.0, 262.0, 251.0)",0.8888530927835051
3024 plate 1x1 010L.jpg,3024 plate 1x1,"[157, 145, 258, 256, '3024 plate 1x1', 0.8769686818122864]","[159, 144, 256, 256]","(159.0, 145.0, 256.0, 256.0)",0.9521577644145738
3024 plate 1x1 018R.jpg,3024 plate 1x1,"[133, 146, 261, 266, '3024 plate 1x1', 0.9223848581314087]","[135, 146, 261, 264]","(135.0, 146.0, 261.0, 264.0)",0.96796875
3024 plate 1x1 020R.jpg,3024 plate 1x1,"[165, 136, 242, 263, '3024 plate 1x1', 0.8988737463951111]","[167, 135, 240, 264]","(167.0, 136.0, 240.0, 263.0)",0.9341057934508816
3037 roof tile 1x4 004L.jpg,3037 roof tile 1x4,"[0, 25, 386, 386, '3037 roof tile 1x4', 0.9671750664710999]","[0, 27, 384, 384]","(0.0, 27.0, 384.0, 384.0)",0.983795731488525
3037 roof tile 1x4 007L.jpg,3037 roof tile 1x4,"[40, 91, 389, 314, '3037 roof tile 1x4', 0.9717020988464355]","[39, 95, 391, 312]","(40.0, 95.0, 389.0, 312.0)",0.9650220443946074
3037 roof tile 1x4 011L.jpg,3037 roof tile 1x4,"[26, 84, 396, 275, '3037 roof tile 1x4', 0.9751156568527222]","[27, 87, 400, 280]","(27.0, 87.0, 396.0, 275.0)",0.9465798845634287
3037 roof tile 1x4 026L.jpg,3037 roof tile 1x4,"[10, 31, 330, 374, '3037 roof tile 1x4', 0.976083517074585]","[8, 31, 328, 376]","(10.0, 31.0, 328.0, 374.0)",0.9818879066669067
3037 roof tile 1x4 039R.jpg,3037 roof tile 1x4,"[49, 80, 366, 296, '3037 roof tile 1x4', 0.9560888409614563]","[47, 79, 368, 296]","(49.0, 80.0, 366.0, 296.0)",0.982988070114992
3038 roof tile 2x3 003L.jpg,3038 roof tile 2x3,"[56, 124, 354, 272, '3038 roof tile 2x3', 0.9355437159538269]","[55, 127, 352, 272]","(56.0, 127.0, 352.0, 272.0)",0.9699654229474113
