image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[100, 133, 323, 230, '2357 brick corner 1x2x2', 0.38659417629241943]","[71, 127, 325, 280]","(100.0, 133.0, 323.0, 230.0)",0.5566105707374813
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[129, 150, 264, 246, '2780 Peg with friction', 0.23782286047935486]","[132, 144, 272, 256]","(132.0, 150.0, 264.0, 246.0)",0.7935871743486974
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[107, 172, 305, 226, '2780 Peg with friction', 0.3139353096485138]","[103, 159, 296, 240]","(107.0, 172.0, 296.0, 226.0)",0.6331658291457286
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[130, 121, 274, 291, '2780 Peg with friction', 0.3931207060813904]","[120, 112, 275, 287]","(130.0, 121.0, 274.0, 287.0)",0.8629291361322696
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[97, 55, 318, 172, '3002 brick 2x3', 0.47561708092689514]","[39, 87, 359, 288]","(97.0, 87.0, 318.0, 172.0)",0.26312471985656655
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[121, 66, 400, 217, '3002 brick 2x3', 0.44680288434028625]","[39, 87, 359, 288]","(121.0, 87.0, 359.0, 217.0)",0.40975247983684066
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[42, 181, 312, 289, '3002 brick 2x3', 0.2812255322933197]","[39, 87, 359, 288]","(42.0, 181.0, 312.0, 288.0)",0.447282861124013
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[67, 113, 306, 248, '3002 brick 2x3', 0.22984766960144043]","[39, 87, 359, 288]","(67.0, 113.0, 306.0, 248.0)",0.5016324626865671
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[59, 130, 400, 278, '3002 brick 2x3', 0.2040916383266449]","[39, 87, 359, 288]","(59.0, 130.0, 359.0, 278.0)",0.6307893390918906
3003 brick 2x2 004R.jpg,3003 brick 2x2,"[92, 106, 269, 301, '3003 brick 2x2', 0.27100950479507446]","[87, 95, 302, 304]","(92.0, 106.0, 269.0, 301.0)",0.7681094914877045
3005 brick 1x1 012L.jpg,3005 brick 1x1,"[126, 113, 284, 268, '3005 brick 1x1', 0.23304139077663422]","[119, 111, 282, 272]","(126.0, 113.0, 282.0, 268.0)",0.9106315670545702
3021 plate 2x3 011L.jpg,3021 plate 2x3,"[45, 117, 397, 264, '3021 plate 2x3', 0.5864454507827759]","[40, 93, 364, 285]","(45.0, 117.0, 364.0, 264.0)",0.6992797387375297
3021 plate 2x3 011L.jpg,3021 plate 2x3,"[192, 125, 400, 192, '3021 plate 2x3', 0.30910825729370117]","[40, 93, 364, 285]","(192.0, 125.0, 364.0, 192.0)",0.17833488084184462
3021 plate 2x3 011L.jpg,3021 plate 2x3,"[140, 116, 359, 176, '3021 plate 2x3', 0.20591388642787933]","[40, 93, 364, 285]","(140.0, 116.0, 359.0, 176.0)",0.21122685185185186
