image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[82, 95, 316, 312, '2357 brick corner 1x2x2', 0.9262241125106812]","[88, 95, 320, 312]","(88.0, 95.0, 316.0, 312.0)",0.957983193277311
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[76, 111, 332, 304, '2357 brick corner 1x2x2', 0.9473831653594971]","[71, 111, 328, 304]","(76.0, 111.0, 328.0, 304.0)",0.9655172413793104
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[75, 58, 329, 288, '2357 brick corner 1x2x2', 0.8958165645599365]","[71, 55, 328, 288]","(75.0, 58.0, 328.0, 288.0)",0.9680424547919682
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[78, 101, 311, 311, '2357 brick corner 1x2x2', 0.9184403419494629]","[79, 104, 312, 312]","(79.0, 104.0, 311.0, 311.0)",0.9727364796435082
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[73, 125, 326, 279, '2357 brick corner 1x2x2', 0.8657165169715881]","[71, 127, 325, 280]","(73.0, 127.0, 325.0, 279.0)",0.9692307692307692
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[95, 110, 301, 271, '2420 plate corner 2x2', 0.9310495257377625]","[95, 111, 304, 272]","(95.0, 111.0, 301.0, 271.0)",0.9735637276620883
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[71, 89, 332, 273, '2420 plate corner 2x2', 0.9616627097129822]","[71, 87, 328, 272]","(71.0, 89.0, 328.0, 272.0)",0.9689521611932919
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[82, 70, 277, 319, '2420 plate corner 2x2', 0.9485340118408203]","[79, 71, 275, 320]","(82.0, 71.0, 275.0, 319.0)",0.967047176482473
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[80, 134, 263, 274, '2420 plate corner 2x2', 0.8980238437652588]","[81, 135, 264, 272]","(81.0, 135.0, 263.0, 272.0)",0.9680475210622355
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[75, 111, 273, 302, '2420 plate corner 2x2', 0.9456243515014648]","[75, 111, 272, 304]","(75.0, 111.0, 272.0, 302.0)",0.9846906730869884
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[128, 143, 274, 253, '2780 Peg with friction', 0.983788013458252]","[132, 144, 272, 256]","(132.0, 144.0, 272.0, 253.0)",0.9259708737864077
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[103, 162, 299, 240, '2780 Peg with friction', 0.9856507182121277]","[103, 159, 296, 240]","(103.0, 162.0, 296.0, 240.0)",0.9487615806390622
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[103, 160, 303, 239, '2780 Peg with friction', 0.9835598468780518]","[103, 159, 296, 240]","(103.0, 160.0, 296.0, 239.0)",0.9419869022612134
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[120, 113, 279, 287, '2780 Peg with friction', 0.9473041296005249]","[120, 112, 275, 287]","(120.0, 113.0, 275.0, 287.0)",0.9694115955573128
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[120, 113, 281, 286, '2780 Peg with friction', 0.9482650756835938]","[122, 111, 280, 288]","(122.0, 113.0, 280.0, 286.0)",0.9595927681235739
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[5, 58, 388, 360, '3001 brick 2x4', 0.9312732815742493]","[0, 56, 384, 360]","(5.0, 58.0, 384.0, 360.0)",0.9704436003527097
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[95, 8, 292, 370, '3001 brick 2x4', 0.9284499287605286]","[95, 15, 295, 368]","(95.0, 15.0, 292.0, 368.0)",0.9608693849916405
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[19, 101, 361, 296, '3001 brick 2x4', 0.9743987917900085]","[16, 103, 360, 297]","(19.0, 103.0, 360.0, 296.0)",0.9733779006995696
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 82, 400, 311, '3001 brick 2x4', 0.953201174736023]","[0, 79, 400, 312]","(0.0, 82.0, 400.0, 311.0)",0.9828326180257511
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[36, 93, 352, 319, '3001 brick 2x4', 0.9570709466934204]","[34, 95, 352, 320]","(36.0, 95.0, 352.0, 319.0)",0.9806322905987642
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[76, 79, 344, 311, '3002 brick 2x3', 0.9471125602722168]","[79, 79, 351, 312]","(79.0, 79.0, 344.0, 311.0)",0.9595455112997877
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[56, 27, 354, 347, '3002 brick 2x3', 0.8538994789123535]","[55, 31, 360, 352]","(56.0, 31.0, 354.0, 347.0)",0.9502608555253943
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[71, 37, 321, 354, '3002 brick 2x3', 0.8750648498535156]","[63, 39, 320, 351]","(71.0, 39.0, 320.0, 351.0)",0.950358427323661
